name,category,precision,recall,f1,threshold,anomaly_rate_pred,anomaly_rate_true,train_anomalies,test_anomalies,test_size
exchange-4_cpm_results,realAdExchange,1.0,0.14634146341463414,0.2553191489361702,0.02,0.0182370820668693,0.12462006079027356,82,41,329
elb_request_count_8c0756,realAWSCloudwatch,0.9027777777777778,0.32338308457711445,0.47619047619047616,0.5,0.08921933085501858,0.24907063197026022,201,201,807
grok_asg_anomaly,realAWSCloudwatch,0.0,0.0,0.0,0.5,0.0,0.14594594594594595,310,135,925
ambient_temperature_system_failure,realKnownCause,0.0,0.0,0.0,0.5,0.0,0.24965612104539203,363,363,1454
ec2_request_latency_system_failure,realKnownCause,0.0,0.0,0.0,0.5,0.0,0.2614622057001239,135,211,807
machine_temperature_system_failure,realKnownCause,0.13718848294217276,1.0,0.24127659574468086,0.9500000000000002,0.9105529852390394,0.12491738268341045,1134,567,4539
nyc_taxi,realKnownCause,0.0,0.0,0.0,0.5,0.0024224806201550387,0.3008720930232558,207,621,2064
speed_7578,realTraffic,0.926829268292683,0.6551724137931034,0.7676767676767676,0.45,0.18141592920353983,0.25663716814159293,29,58,226
Twitter_volume_CVS,realTweets,0.08917713822456425,0.5541561712846348,0.15363128491620112,0.5,0.7779880163986124,0.1251970987070325,1129,397,3171
Twitter_volume_IBM,realTweets,0.25,0.03270440251572327,0.05784204671857619,0.5,0.03271469015413652,0.2500786410821013,795,795,3179
Twitter_volume_KO,realTweets,0.21726618705035972,0.28544423440453687,0.24673202614379086,0.02,0.21917376222011983,0.16682434563229265,529,529,3171
